movie_score,movie_title,release_date
54,A Will for the Woods,"Release Date:Aug 15, 2014"
71,A Woman Is a Woman,"Release Date:May 16, 2003"
57,"A Woman, a Gun and a Noodle Shop","Release Date:Sep 3, 2010"
62,A Year Without Love,"Release Date:Feb 10, 2006"
50,A.C.O.D.,"Release Date:Oct 4, 2013"
36,Abandon,"Release Date:Oct 18, 2002"
73,ABC Africa,"Release Date:May 3, 2002"
53,ABCD,"Release Date:Nov 30, 2001"
53,ABCs of Death 2,"Release Date:Oct 31, 2014"
25,Abduction,"Release Date:Sep 23, 2011"
78,Aberdeen,"Release Date:Aug 17, 2001"
31,Abominable,"Release Date:Apr 14, 2006"
75,About a Boy,"Release Date:May 17, 2002"
64,About Adam,"Release Date:May 9, 2001"
33,About Cherry,"Release Date:Sep 21, 2012"
87,About Elly (2009),"Release Date:Apr 8, 2015"
62,About Last Night,"Release Date:Feb 14, 2014"
85,About Schmidt,"Release Date:Dec 13, 2002"
55,About Time,"Release Date:Nov 1, 2013"
69,Above and Beyond,"Release Date:Jan 30, 2015"
42,Abraham Lincoln: Vampire Hunter,"Release Date:Jun 22, 2012"
58,Abschied - Brechts letzter Sommer,"Release Date:Jan 16, 2002"
20,Absence,"Release Date:Jul 5, 2013"
52,Absolute Power,"Release Date:Feb 14, 1997"
77,Abuse of Weakness,"Release Date:Aug 15, 2014"
47,Accepted,"Release Date:Aug 18, 2006"
20,Accidental Love,"Release Date:Mar 20, 2015"
37,Ace Ventura: Pet Detective,"Release Date:Feb 4, 1994"
45,Ace Ventura: When Nature Calls,"Release Date:Nov 10, 1995"
56,Across the Universe,"Release Date:Sep 14, 2007"
40,Act of Valor,"Release Date:Feb 24, 2012"
58,Acts of Worship,"Release Date:Nov 21, 2003"
56,Adam,"Release Date:Jul 29, 2009"
48,Adam & Steve,"Release Date:Mar 31, 2006"
58,Adam Resurrected,"Release Date:Dec 12, 2008"
83,Adaptation.,"Release Date:Dec 6, 2002"
32,Addicted,"Release Date:Oct 10, 2014"
49,Addicted to Love,"Release Date:May 23, 1997"
48,Admission,"Release Date:Mar 22, 2013"
64,Adoration,"Release Date:May 8, 2009"
37,Adore,"Release Date:Sep 6, 2013"
28,Adored,"Release Date:Apr 2, 2004"
69,Adorenarin doraibu,"Release Date:May 5, 2000"
57,Adult Beginners,"Release Date:Apr 24, 2015"
61,Adult World,"Release Date:Feb 14, 2014"
66,Advanced Style,"Release Date:Sep 26, 2014"
59,Advantageous,"Release Date:Jun 26, 2015"
76,Adventureland,"Release Date:Apr 3, 2009"
35,Adventures of the Penguin King,"Release Date:Dec 6, 2013"
65,Ae Fond Kiss...,"Release Date:Nov 26, 2004"
56,Afflicted,"Release Date:Apr 4, 2014"
79,Affliction,"Release Date:Dec 30, 1998"
30,Affluenza,"Release Date:Jul 11, 2014"
78,Afghan Star,"Release Date:Jun 26, 2009"
33,After Earth,"Release Date:May 31, 2013"
90,After Hours,"Release Date:Sep 13, 1985"
74,After Innocence,"Release Date:Oct 21, 2005"
39,After the Ball,"Release Date:Apr 24, 2015"
37,After the Dark,"Release Date:Feb 7, 2014"
38,After the Sunset,"Release Date:Nov 12, 2004"
78,After the Wedding,"Release Date:Mar 30, 2007"
75,After Tiller,"Release Date:Sep 20, 2013"
35,After Words,"Release Date:Aug 21, 2015"
68,Afterglow,"Release Date:Dec 26, 1997"
40,Aftermath,"Release Date:Jul 18, 2014"
50,Afternoon Delight,"Release Date:Aug 30, 2013"
76,Afternoon of a Faun: Tanaquil Le Clercq,"Release Date:Feb 5, 2014"
39,Aftershock,"Release Date:May 10, 2013"
42,Against All Odds,"Release Date:Mar 2, 1984"
36,Against the Ropes,"Release Date:Feb 20, 2004"
43,Against the Sun,"Release Date:Jan 23, 2015"
51,Age of Uprising: The Legend of Michael Kohlhaas,"Release Date:May 30, 2014"
41,Agent Cody Banks,"Release Date:Mar 14, 2003"
32,Agent Cody Banks 2: Destination London,"Release Date:Mar 12, 2004"
46,Agnes and His Brothers,"Release Date:Jun 9, 2006"
55,Agnes Browne,"Release Date:Dec 3, 1999"
81,Ai Weiwei: Never Sorry,"Release Date:Jul 27, 2012"
73,Ai Weiwei: The Fake Case,"Release Date:May 16, 2014"
71,Aileen: Life and Death of a Serial Killer,"Release Date:Jan 9, 2004"
72,Aimee & Jaguar,"Release Date:Aug 11, 2000"
74,Ain't Them Bodies Saints,"Release Date:Aug 16, 2013"
33,Air,"Release Date:Aug 14, 2015"
33,Air America,"Release Date:Aug 10, 1990"
61,Air Force One,"Release Date:Jul 25, 1997"
72,Air Guitar Nation,"Release Date:Mar 23, 2007"
82,Ajami,"Release Date:Feb 3, 2010"
72,Akeelah and the Bee,"Release Date:Apr 28, 2006"
49,Al Franken: God Spoke,"Release Date:Sep 13, 2006"
66,Al otro lado,"Release Date:Mar 1, 2006"
66,Alan Partridge,"Release Date:Apr 4, 2014"
57,Albert Nobbs,"Release Date:Dec 21, 2011"
48,Albino Alligator,"Release Date:Jan 17, 1997"
32,Alex & Emma,"Release Date:Jun 20, 2003"
30,Alex Cross,"Release Date:Oct 19, 2012"
56,Alex of Venice,"Release Date:Apr 17, 2015"
42,Alex Rider: Operation Stormbreaker,"Release Date:Oct 13, 2006"
39,Alexander,"Release Date:Nov 24, 2004"
54,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Release Date:Oct 10, 2014"
85,Alexandra,"Release Date:Mar 26, 2008"
62,Alexandra's Project,"Release Date:Feb 18, 2005"
49,Alfie,"Release Date:Nov 5, 2004"
63,Algorithms,"Release Date:Oct 17, 2014"
65,Ali,"Release Date:Dec 25, 2001"
73,Alias Betty,"Release Date:Sep 13, 2002"
68,Alice et Martin,"Release Date:Jul 21, 2000"
53,Alice in Wonderland,"Release Date:Mar 5, 2010"
59,Alien 3,"Release Date:May 22, 1992"
47,Alien Abduction,"Release Date:Apr 4, 2014"
45,Alien Nation,"Release Date:Oct 7, 1988"
26,Alien Outpost,"Release Date:Jan 30, 2015"
48,Alien Trespass,"Release Date:Apr 3, 2009"
63,Alien: Resurrection,"Release Date:Nov 26, 1997"
42,Aliens in the Attic,"Release Date:Jul 31, 2009"
71,Aliens of the Deep,"Release Date:Jan 28, 2005"
57,Alila,"Release Date:Feb 27, 2004"
73,All About Lily Chou-Chou,"Release Date:Jul 12, 2002"
87,All About My Mother,"Release Date:Nov 19, 1999"
17,All About Steve,"Release Date:Sep 4, 2009"
34,All About the Benjamins,"Release Date:Mar 8, 2002"
45,All Cheerleaders Die,"Release Date:Jun 13, 2014"
50,All Dogs Go to Heaven,"Release Date:Nov 17, 1989"
60,All I Wanna Do,"Release Date:Mar 24, 2000"
54,All Is Bright,"Release Date:Oct 4, 2013"
87,All Is Lost,"Release Date:Oct 18, 2013"
50,All My Loved Ones,"Release Date:Aug 14, 2002"
72,All or Nothing,"Release Date:Oct 25, 2002"
46,All Over the Guy,"Release Date:Aug 10, 2001"
23,All Relative,"Release Date:Nov 21, 2014"
44,All the Boys Love Mandy Lane,"Release Date:Oct 11, 2013"
37,All the King's Men,"Release Date:Sep 22, 2006"
51,All the Little Animals,"Release Date:Sep 3, 1999"
55,All the Pretty Horses,"Release Date:Dec 25, 2000"
19,All the Queen's Men,"Release Date:Oct 25, 2002"
39,All the Rage,"Release Date:Jul 7, 2000"
71,All the Real Girls,"Release Date:Feb 14, 2003"
62,All the Right Moves,"Release Date:Oct 21, 1983"
54,All the Wilderness,"Release Date:Feb 20, 2015"
73,All Things Must Pass,"Release Date:Oct 16, 2015"
57,All Together,"Release Date:Oct 19, 2012"
72,Allluia,"Release Date:Jul 17, 2015"
90,Almost Famous,"Release Date:Sep 13, 2000"
40,Almost Human,"Release Date:Feb 21, 2014"
67,Almost Peaceful,"Release Date:Aug 20, 2004"
34,Aloft,"Release Date:May 22, 2015"
40,Aloha,"Release Date:May 29, 2015"
9,Alone in the Dark,"Release Date:Jan 28, 2005"
65,Alone with Her,"Release Date:Jan 17, 2007"
42,Along Came a Spider,"Release Date:Apr 6, 2001"
44,Along Came Polly,"Release Date:Jan 16, 2004"
36,Alpha and Omega,"Release Date:Sep 17, 2010"
53,Alpha Dog,"Release Date:Jan 12, 2007"
69,Alps,"Release Date:Jul 13, 2012"
65,Altina,"Release Date:Sep 12, 2014"
39,Alvin and the Chipmunks,"Release Date:Dec 14, 2007"
24,Alvin and the Chipmunks: Chipwrecked,"Release Date:Dec 16, 2011"
24,Alvin and the Chipmunks: Chipwrecked,"Release Date:Dec 16, 2011"
33,Alvin and the Chipmunks: The Road Chip,"Release Date:Dec 18, 2015"
41,Alvin and the Chipmunks: The Squeakquel,"Release Date:Dec 23, 2009"
50,Always,"Release Date:Dec 22, 1989"
30,Always Woodstock,"Release Date:Nov 14, 2014"
93,Amadeus,"Release Date:Apr 5, 2002"
78,Amandla! A Revolution in Four Part Harmony,"Release Date:Feb 19, 2003"
53,Amateur,"Release Date:May 19, 1995"
65,Amazing Grace,"Release Date:Feb 23, 2007"
37,Amelia,"Release Date:Oct 23, 2009"
69,Amlie,"Release Date:Nov 2, 2001"
57,Amen.,"Release Date:Jan 24, 2003"
36,America So Beautiful,"Release Date:Feb 7, 2003"
55,America's Heart and Soul,"Release Date:Jul 2, 2004"
44,America's Sweethearts,"Release Date:Jul 20, 2001"
43,America: Freedom to Fascism,"Release Date:Jul 28, 2006"
30,American Adobo,"Release Date:Jan 23, 2002"
86,American Beauty,"Release Date:Sep 15, 1999"
44,American Cannibal: The Road to Reality,"Release Date:Mar 16, 2007"
45,American Dreamz,"Release Date:Apr 21, 2006"
76,American Gangster,"Release Date:Nov 2, 2007"
48,American Gun,"Release Date:Mar 22, 2006"
69,American Hardcore,"Release Date:Sep 22, 2006"
23,American Heist,"Release Date:Jul 24, 2015"
42,American Hero,"Release Date:Dec 11, 2015"
62,American History X,"Release Date:Oct 30, 1998"
90,American Hustle,"Release Date:Dec 13, 2013"
46,American Mary,"Release Date:May 31, 2013"
66,American Me,"Release Date:Mar 13, 1992"
84,American Movie,"Release Date:Nov 5, 1999"
25,American Outlaws,"Release Date:Aug 17, 2001"
58,American Pie,"Release Date:Jul 9, 1999"
43,American Pie 2,"Release Date:Aug 10, 2001"
59,American Pimp,"Release Date:Jun 9, 2000"
67,American Promise,"Release Date:Oct 18, 2013"
64,American Psycho,"Release Date:Apr 14, 2000"
71,American Radical: The Trials of Norman Finkelstein,"Release Date:Feb 12, 2010"
49,American Reunion,"Release Date:Apr 6, 2012"
72,American Sniper,"Release Date:Dec 25, 2014"
90,American Splendor,"Release Date:Aug 15, 2003"
59,American Swing,"Release Date:Mar 27, 2009"
60,American Teacher,"Release Date:Sep 30, 2011"
50,American Ultra,"Release Date:Aug 21, 2015"
56,American Violet,"Release Date:Apr 17, 2009"
30,American Virgin,"Release Date:Jun 2, 2000"
43,American Wedding,"Release Date:Aug 1, 2003"
58,Amira & Sam,"Release Date:Jan 30, 2015"
63,Amistad,"Release Date:Dec 10, 1997"
33,Amnesiac,"Release Date:Aug 14, 2015"
83,Amores Perros,"Release Date:Mar 30, 2001"
94,Amour,"Release Date:Dec 19, 2012"
73,Amreeka,"Release Date:Sep 4, 2009"
40,Amy,"Release Date:Jan 26, 2001"
85,Amy,"Release Date:Jul 3, 2015"
36,Amy's Orgasm,"Release Date:Aug 23, 2002"
67,An Affair of Love,"Release Date:Aug 11, 2000"
31,An American Affair,"Release Date:Feb 27, 2009"
20,An American Carol,"Release Date:Oct 3, 2008"
38,An American Haunting,"Release Date:May 5, 2006"
51,An American Rhapsody,"Release Date:Aug 10, 2001"
31,An American Werewolf in Paris,"Release Date:Oct 31, 1997"
85,An Education,"Release Date:Oct 9, 2009"
56,An Everlasting Piece,"Release Date:Dec 25, 2000"
67,An Ideal Husband,"Release Date:Jun 18, 1999"
75,An Inconvenient Truth,"Release Date:May 24, 2006"
75,An Officer and a Gentleman,"Release Date:Jul 28, 1982"
74,An Oversimplification of Her Beauty,"Release Date:Apr 26, 2013"
49,An Unfinished Life,"Release Date:Sep 9, 2005"
75,An Unreasonable Man,"Release Date:Jan 31, 2007"
37,Anaconda,"Release Date:Apr 11, 1997"
40,Anacondas: The Hunt for the Blood Orchid,"Release Date:Aug 27, 2004"
37,Analyze That,"Release Date:Dec 6, 2002"
61,Analyze This,"Release Date:Mar 5, 1999"
43,Anamorph,"Release Date:Apr 18, 2008"
59,Anastasia,"Release Date:Nov 21, 1997"
33,Anatomy,"Release Date:Sep 8, 2000"
46,Anatomy 2,"Release Date:Aug 13, 2004"
29,Anatomy of Hell,"Release Date:Sep 24, 2004"
61,Anchorman 2: The Legend Continues,"Release Date:Dec 18, 2013"
63,Anchorman: The Legend of Ron Burgundy,"Release Date:Jul 9, 2004"
33,And Now a Word from Our Sponsor,"Release Date:May 10, 2013"
54,And Now... Ladies and Gentlemen...,"Release Date:Aug 1, 2003"
38,And So It Goes,"Release Date:Jul 25, 2014"
48,And While We Were Here,"Release Date:Sep 13, 2013"
86,Andy Warhol: A Documentary Film,"Release Date:Sep 1, 2006"
